id	date	home_team	home_team_score	visit_team	visit_team_score
400488985	2014-11-13	Philadelphia 76ers	123	Houston	117
400489000	2014-11-15	Atlanta	113	Philadelphia 76ers	103
400489016	2014-11-16	New Orleans	135	Philadelphia 76ers	98
400489026	2014-11-18	Dallas	97	Philadelphia 76ers	94
400489038	2014-11-20	Philadelphia 76ers	98	Toronto	108
400489050	2014-11-22	Philadelphia 76ers	115	Milwaukee	107
400489061	2014-11-23	Indiana	106	Philadelphia 76ers	98
400489089	2014-11-27	Orlando	105	Philadelphia 76ers	94
400489110	2014-11-29	Philadelphia 76ers	105	New Orleans	121
400489123	2014-12-01	Detroit	115	Philadelphia 76ers	100
400489134	2014-12-03	Philadelphia 76ers	126	Orlando	125
400489153	2014-12-06	Charlotte	105	Philadelphia 76ers	88
400489163	2014-12-07	Philadelphia 76ers	92	Denver	103
400489178	2014-12-09	Philadelphia 76ers	83	LA	94
400489195	2014-12-11	Minnesota	106	Philadelphia 76ers	99
400489204	2014-12-13	Toronto	108	Philadelphia 76ers	100
400489220	2014-12-14	Philadelphia 76ers	105	Portland	139
400489271	2014-12-21	Milwaukee	116	Philadelphia 76ers	106
400489318	2014-12-28	Phoenix	115	Philadelphia 76ers	101
400489325	2014-12-29	Los Angeles	104	Philadelphia 76ers	111
400489344	2014-01-01	Denver	102	Philadelphia 76ers	114
400489354	2014-01-02	Sacramento	104	Philadelphia 76ers	113
400489369	2014-01-04	Portland	99	Philadelphia 76ers	101
400489378	2014-01-06	Philadelphia 76ers	95	Minnesota	126
400489382	2014-01-07	Cleveland	111	Philadelphia 76ers	93
400489405	2014-01-10	Philadelphia 76ers	104	Detroit	114
400489440	2014-01-15	Philadelphia 76ers	95	Charlotte	92
400489456	2014-01-17	Philadelphia 76ers	86	Miami	101
400489469	2014-01-18	Chicago	103	Philadelphia 76ers	78
400489482	2014-01-20	Washington	107	Philadelphia 76ers	99
400489507	2014-01-24	Philadelphia 76ers	95	Toronto	104
400489521	2014-01-25	Philadelphia 76ers	91	Oklahoma City	103
400489535	2014-01-27	Philadelphia 76ers	113	Phoenix	124
400489563	2014-01-31	Philadelphia 76ers	99	Atlanta	125
400489573	2014-02-01	Detroit	113	Philadelphia 76ers	96
400489614	2014-02-07	Philadelphia 76ers	98	Los Angeles	112
400489636	2014-02-09	LA	123	Philadelphia 76ers	78
400489642	2014-02-10	Golden State	123	Philadelphia 76ers	80
400489660	2014-02-12	Utah	105	Philadelphia 76ers	100
400489666	2014-02-18	Philadelphia 76ers	85	Cleveland	114
400489690	2014-02-21	Philadelphia 76ers	112	Dallas	124
400489714	2014-02-24	Philadelphia 76ers	110	Milwaukee	130
400489726	2014-02-26	Philadelphia 76ers	90	Orlando	101
400489748	2014-03-01	Philadelphia 76ers	103	Washington	122
400489759	2014-03-02	Orlando	92	Philadelphia 76ers	81
400489774	2014-03-04	Oklahoma City	125	Philadelphia 76ers	92
400489802	2014-03-08	Philadelphia 76ers	92	Utah	104
400489832	2014-03-12	Philadelphia 76ers	98	Sacramento	115
400489846	2014-03-14	Philadelphia 76ers	94	Indiana	101
400489858	2014-03-15	Philadelphia 76ers	77	Memphis	103
400489870	2014-03-17	Indiana	99	Philadelphia 76ers	90
400489881	2014-03-19	Philadelphia 76ers	94	Chicago	102
400489907	2014-03-22	Chicago	91	Philadelphia 76ers	81
400489927	2014-03-24	San Antonio	113	Philadelphia 76ers	91
400489945	2014-03-27	Houston	120	Philadelphia 76ers	98
400489960	2014-03-29	Philadelphia 76ers	123	Detroit	98
400489976	2014-03-31	Atlanta	103	Philadelphia 76ers	95
400489990	2014-04-02	Philadelphia 76ers	93	Charlotte	123
400490037	2014-04-09	Toronto	125	Philadelphia 76ers	114
400490055	2014-04-11	Memphis	117	Philadelphia 76ers	95
400490063	2014-04-12	Charlotte	111	Philadelphia 76ers	105
400490098	2014-04-16	Miami	87	Philadelphia 76ers	100
400488896	2014-11-01	Atlanta	102	Toronto Raptors	95
400488910	2014-11-02	Milwaukee	90	Toronto Raptors	97
400488924	2014-11-05	Toronto Raptors	95	Miami	104
400488933	2014-11-06	Charlotte	92	Toronto Raptors	90
400488947	2014-11-08	Indiana	91	Toronto Raptors	84
400488958	2014-11-09	Toronto Raptors	115	Utah	91
400488976	2014-11-11	Houston	110	Toronto Raptors	104
400488987	2014-11-13	Memphis	87	Toronto Raptors	103
400488999	2014-11-15	Toronto Raptors	80	Chicago	96
400489020	2014-11-17	Toronto Raptors	110	Portland	118
400489051	2014-11-22	Toronto Raptors	96	Washington	88
400489103	2014-11-29	Toronto Raptors	83	Miami	90
400489121	2014-12-01	Toronto Raptors	98	Denver	112
400489141	2014-12-03	Golden State	112	Toronto Raptors	103
400489160	2014-12-06	Phoenix	106	Toronto Raptors	97
400489176	2014-12-08	Los Angeles	94	Toronto Raptors	106
400489185	2014-12-10	Toronto Raptors	103	San Antonio	116
400489219	2014-12-14	Chicago	77	Toronto Raptors	99
400489244	2014-12-18	Toronto Raptors	102	Charlotte	104
400489262	2014-12-20	Dallas	108	Toronto Raptors	109
400489278	2014-12-22	Oklahoma City	98	Toronto Raptors	104
400489287	2014-12-23	San Antonio	112	Toronto Raptors	99
400489336	2014-12-31	Chicago	79	Toronto Raptors	85
400489342	2014-01-01	Toronto Raptors	95	Indiana	82
400489355	2014-01-03	Washington	88	Toronto Raptors	101
400489373	2014-01-05	Miami	102	Toronto Raptors	97
400489383	2014-01-07	Indiana	86	Toronto Raptors	79
400489394	2014-01-08	Toronto Raptors	112	Detroit	91
400489428	2014-01-13	Toronto Raptors	116	Milwaukee	94
400489457	2014-01-17	Toronto Raptors	94	Minnesota	89
400489474	2014-01-19	Toronto Raptors	106	Los Angeles	112
400489481	2014-01-20	Charlotte	100	Toronto Raptors	95
400489497	2014-01-22	Toronto Raptors	93	Dallas	85
400489520	2014-01-25	Toronto Raptors	118	LA	126
400489549	2014-01-29	Toronto Raptors	98	Orlando	83
400489567	2014-01-31	Denver	90	Toronto Raptors	100
400489580	2014-02-01	Portland	106	Toronto Raptors	103
400489592	2014-02-03	Utah	79	Toronto Raptors	94
400489608	2014-02-05	Sacramento	109	Toronto Raptors	101
400489621	2014-02-07	LA	118	Toronto Raptors	105
400489638	2014-02-10	Toronto Raptors	108	New Orleans	101
400489652	2014-02-12	Toronto Raptors	104	Atlanta	83
400489667	2014-02-18	Washington	93	Toronto Raptors	103
400489676	2014-02-19	Toronto Raptors	92	Chicago	94
400489691	2014-02-21	Toronto Raptors	98	Cleveland	91
400489709	2014-02-23	Toronto Raptors	105	Orlando	90
400489719	2014-02-25	Cleveland	93	Toronto Raptors	99
400489737	2014-02-27	Toronto Raptors	129	Washington	134
400489757	2014-03-02	Toronto Raptors	104	Golden State	98
